Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Story Focus,Gameplay Focus,Series
Assassin's Creed The Ezio Collection,2016,Action,Ubisoft,0.03,0.04,0,0.01,0.08,74,13,7.6,24,Ubisoft Montreal,M,,x,x
Assetto Corsa,2016,Racing,505 Games,0,0.05,0,0.01,0.06,73,35,6.2,70,Kunos Simulazioni,E,,x,
Assetto Corsa,2016,Racing,505 Games,0,0.01,0,0,0.02,63,9,6.7,27,Kunos Simulazioni,E,,x,
Astonishia Story,2006,Role-Playing,Ubisoft,0.03,0,0,0,0.03,48,35,4.9,18,Sonnori,E10+,,x,
Astro Boy,2004,Action,Sega,0.04,0.03,0,0.01,0.09,54,29,6.9,7,Sonic Team,E,,x,
Astro Boy: Omega Factor,2003,Action,THQ,0.06,0.02,0,0,0.09,85,37,8.6,18,Hitmaker,E,,x,
Astro Boy: The Video Game,2009,Action,D3Publisher,0.05,0.04,0,0.01,0.11,56,4,5,4,High Voltage Software,E10+,,x,
Astro Boy: The Video Game,2009,Action,D3Publisher,0.1,0,0,0.01,0.11,48,17,3.5,4,High Voltage Software,E10+,,x,
Asura's Wrath,2012,Action,Capcom,0.18,0.12,0.06,0.05,0.4,71,39,7.4,169,CyberConnect2,T,,x,
Asura's Wrath,2012,Action,Capcom,0.15,0.06,0.01,0.02,0.24,71,54,6.5,131,CyberConnect2,T,,x,
Atari Anthology,2004,Misc,Atari,0.33,0.01,0,0.05,0.4,66,12,4.3,6,Digital Eclipse,E,,x,
Atari Classics Evolved,2007,Misc,Atari,0.08,0,0,0.01,0.09,64,17,6,4,Stainless Games,E,,x,
Atelier Annie: Alchemists of Sera Island,2009,Role-Playing,Gust,0.08,0,0.03,0.01,0.12,70,11,6.7,15,Gust,E10+,x,,
Atelier Ayesha: The Alchemist of Dusk,2012,Role-Playing,Tecmo Koei,0.06,0.04,0.14,0.02,0.26,70,17,6.6,120,Gust,T,x,,
Atelier Iris: Eternal Mana,2004,Role-Playing,Tecmo Koei,0.08,0.06,0,0.02,0.15,74,38,7.7,38,Gust,T,x,,
